name,gdp_per_capita,population_density,population,literacy_rate,access_to_electricity,region
sri lanka,1435.81681297616,314.080322117685,19695977,90.8088302612305,82.0500030517578,Asia
st. kitts and nevis,13614.4933728015,182.05,47333,..,96.8025207519531,
st. lucia,7669.21346965851,271.111475409836,165378,..,92.2560424804688,
st. martin (french part),..,..,35240,..,100,
st. vincent and the grenadines,5925.31589571019,278.466666666667,108602,..,87.5968551635742,
sudan,1143.93225097656,..,31661824,..,30.5757923126221,Africa
suriname,5197.74790651499,3.23905128205128,505292,..,91.0198364257813,Americas
sweden,46593.6021646111,22.2922170365422,9080505,..,100,Europe
switzerland,59300.6172165015,189.385176000202,7483934,..,100,Europe
syrian arab republic,8069.56487932034,103.791629907967,19059257,..,99.5057601928711,
tajikistan,408.838413523407,49.4612032009145,6922590,..,98.6165390014648,Asia
tanzania,485.497436523438,44.6473989613908,39548666,..,14.5156984329224,Africa
thailand,3369.54319807344,128.819393607234,65812540,..,99.1462020874023,Asia
timor-leste,446.466529652108,68.3548755884331,1016437,..,36.6612434387207,Asia
togo,408.057117336142,105.954789483361,5762881,56.888370513916,27.8999996185303,Africa
tonga,2873.0766372279,141.269444444444,101714,99.0184631347656,92.3000030517578,Oceania
trinidad and tobago,14102.5932894722,253.908771929825,1302552,..,100,Americas
tunisia,3369.92444259929,65.6617597837281,10201211,..,99.4000015258789,Africa
turkiye,8101.85692374776,89.3374855450021,68756809,88.1193923950195,99.9607238769531,
turkmenistan,2136.47210126331,10.2358095886621,4810114,..,99.8413314819336,Asia
turks and caicos islands,24559.1437027965,30.9410526315789,29394,..,96.308349609375,Americas
tuvalu,2381.53642440884,337.266666666667,10118,..,95.7948455810547,Oceania
uganda,349.217100086696,142.99321855763,28571475,71.3731384277344,9,Africa
ukraine,2391.32397460938,80.7577085059376,46787786,..,100,Europe
united arab emirates,41907.4214695701,74.6292875246409,5300172,..,100,Asia
united kingdom,44654.0969208924,251.50589013351,60846820,..,100,Europe
united states,46302.0008800056,32.5673998463204,298379912,..,100,Americas
uruguay,5887.84516224163,19.0001314135527,3325403,97.7896270751953,98.5054244995117,Americas
uzbekistan,654.283837283285,60.7737753814386,26488250,..,99.4900970458984,Asia
vanuatu,2049.53280915594,17.5864643150123,214379,..,26.4400005340576,Oceania
venezuela,6833.37891180263,30.4406666288759,26850190,..,99.3000030517578,Americas
vietnam,784.372375930354,270.520772390863,84617545,..,96,Asia
virgin islands,41377.1466009652,309.625714285714,108369,..,100,
west bank and gaza,1570.10439962728,565.836212624585,3406334,93.4508666992188,99.6999969482422,
yemen,921.418354862175,39.1833778434381,20687648,..,55.8003349304199,Asia
zambia,1047.9188431217,16.3756816744912,12173518,..,24.1072578430176,Africa
zimbabwe,447.854739946441,31.4217293524622,12155496,..,37.2000007629395,Africa
